brand_name,url_string
Just For Men,www.justformen.com/
Living Proof,www.livingproof.com/
Moroccanoil,www.moroccanoil.com/usa/h_us_en
Clairol,www.clairol.com/
Nioxin,nioxin.com/
Revlon,www.revlon.com/
Organix,www.organixhair.com/
Pert Plus,www.pertplus.com/
Pureology,www.pureology.com/
Schwarzkopf,www.schwarzkopf-professional.com/
Sebastian Professional,www.sebastianprofessional.com/
Shu Uemura Art of Hair,www.shuuemuraartofhair-usa.com/
TIGI Bed Head,www.bedhead.com/
Bare Escentuals,bareminerals.com
Wen,www.wen.com/
JOICO,www.joico.com/
Labatt Blue,www.labattus.com/
Leinenkugel Original Premium,leinie.com/
Molson Canadian,www.molsoncanadian.ca/en/Index.aspx
Burt's Bees,www.burtsbees.com/
Natural Light,naturallight.com/
Rolling Rock,doingourthing.com/
Samuel Adams,www.samueladams.com/
Shiner Bock,www.shiner.com/
Sierra Nevada,www.sierranevada.com/
La Mer,cremedelamer.com
Widmer,widmerbrothers.com/
Blue Moon Beer,bluemoonbrewingcompany.com
Coors,www.coors.com/
Dos Equis,dosequis.com/
New Belgium,www.newbelgium.com/Home.aspx
Guinness,www.guinness.com/
Pravana,www.pravana.com/
Dior,dior.com
Ojon,www.ojon.com/
Reinaldo Lourenco,reinaldolourenco.com
Pedro Lourenco,www.pedrolourenco.com
Gloria Coelho,gloriacoelho.com.br
Avon,avon.com
Rogaine/Regaine,www.rogaine.com/
Caress,www.caressskin.com/
Motions,www.motionshair.com/
Tom Ford,tomford.com
Lamborghini,lamborghini.com
Best Buy,www.bestbuy.com
Tommy Hilfiger,tommy.com
Century 21,c21stores.com
Chrysler,www.chrysler.com/
Fiat,www.fiat.com/
Go Daddy,godaddy.com
Hyundai,www.hyundaiusa.com/
Kia,www.kia.com/worldwide/
Trish McEvoy,trishmcevoy.com
Doritos,www.fritolay.com/our-snacks/doritos.html
M&M's,www.mms.com/
Urban Decay,urbandecay.com
Oreo,www.oreo.com/default.aspx
Speed Stick,www.colgate.com/app/Speedstick/US/EN/HomePage.cvsp
