category,Retail,None,Beauty & Skincare,Fashion
youtube,3.2637774211,11.1111111111,8.612686952,6.0292326431
instagram,3.6383092563,11.1111111111,11.3976276431,3.3495736906
twitter,6.58105939,11.1111111111,12.0165033522,7.856272838
facebook,6.3937934724,11.1111111111,12.068076328,6.2728380024
pinterest,4.5211342964,11.1111111111,11.4492006189,3.0450669915
